ID	Prob	Len	Word	Freq	Score
[652]	0.000188245	1	潮	72	inf
[653]	0.000618563	1	暮	242	inf
[654]	3.5742e-005	1	规	15	inf
[655]	0.000307776	1	谢	75	inf
[656]	0.000284003	1	俗	85	inf
[657]	0.000323799	1	缘	80	inf
[658]	7.86014e-005	1	僻	15	inf
[659]	8.56732e-005	1	耽	13	inf
[660]	0.000196585	1	赏	42	inf
[661]	0.000815217	1	后	212	inf
[662]	0.000242427	1	苍	206	inf
[663]	4.32239e-005	1	冥	59	inf
[664]	0.000320345	1	夕	196	inf
[665]	0.000157251	1	汀	31	inf
[666]	0.000127386	1	洲	61	inf
[667]	0.000184522	1	歇	42	inf
[668]	0.00019363	1	虎	55	inf
[669]	0.000142806	1	闭	51	inf
[670]	0.000222322	1	投	45	inf
[671]	0.000217198	1	黑	46	inf
[672]	3.57121e-005	1	欹	9	inf
[673]	0.000224814	1	危	65	inf
[674]	0.000180175	1	叟	35	inf
[675]	0.000607549	1	爱	193	inf
[676]	0.000136928	1	怕	31	inf
[677]	4.99664e-005	1	恕	6	inf
[678]	0.00125613	1	白	798	inf
[679]	0.00114612	1	满	357	inf
[680]	0.000143207	1	酌	32	inf
[681]	0.000294404	1	侧	45	inf
[682]	0.000172389	1	狂	35	inf
[683]	0.000334367	1	舞	74	inf
[684]	0.000146597	1	必	91	inf
[685]	0.000309127	1	待	124	inf
[686]	0.000179943	1	鸡	73	inf
[687]	0.000334558	1	频	57	inf
[688]	0.000498342	1	兴	132	inf
[689]	0.00019917	1	层	62	inf
[690]	6.42426e-005	1	担	8	inf
[691]	2.85522e-005	1	曼	3	inf
[692]	0.000393699	1	隐	140	inf
[693]	2.14142e-005	1	骡	2	inf
[694]	3.57336e-005	1	嘶	9	inf
[695]	1.42794e-005	1	芙	88	inf
[696]	1.42763e-005	1	蓉	80	inf
[697]	0.000317823	1	迷	69	inf
